num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
226,末路狂花,雷德利·斯科特,"['吉娜·戴维斯', '苏珊·萨兰登', '哈威·凯特尔', '迈克尔·马德森']",美国 / 法国,英语,8.7,130421,1991-05-24(美国),130 分钟,"['剧情', '惊悚', '犯罪']",没有了退路，只好飞向自由。
227,2001太空漫游,斯坦利·库布里克,"['凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特', '丹尼尔·里希特']",英国 / 美国,英语 / 俄语,8.7,135744,1968-04-02(华盛顿首映),149分钟,"['科幻', '惊悚', '冒险']",现代科幻电影的开山之作，最伟大导演的最伟大影片。
228,聚焦,汤姆·麦卡锡,"['马克·鲁弗洛', '迈克尔·基顿', '瑞秋·麦克亚当斯', '列维·施瑞博尔']",美国,英语,8.8,162853,2015-09-03(威尼斯电影节),128分钟,"['剧情', '传记']",新闻人的理性求真。
229,勇闯夺命岛,迈克尔·贝,"['肖恩·康纳利', '尼古拉斯·凯奇', '艾德·哈里斯', '约翰·斯宾塞']",美国,英语,8.6,173331,1996-06-07(美国),136分钟,"['动作', '冒险']",类型片的极致。 
230,变脸,吴宇森,"['约翰·特拉沃尔塔', '尼古拉斯·凯奇', '琼·艾伦', '亚历桑德罗·尼沃拉']",美国,英语 / 拉丁语,8.4,260003,1997-06-27(美国),138分钟,"['动作', '科幻', '惊悚', '犯罪']",当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
231,发条橙,斯坦利·库布里克,"['马尔科姆·麦克道威尔', '帕特里克·马基', '迈克尔·贝茨', '沃伦·克拉克']",英国 / 美国,英语,8.5,226284,1971-12-19(纽约首映),136 分钟,"['剧情', '科幻', '犯罪']",我完全康复了。
232,秒速5厘米,新海诚,"['水桥研二', '近藤好美 ', '尾上绫华', '花村怜美']",日本,日语,8.3,386703,2007-03-03(日本),63分钟,"['剧情', '爱情', '动画']",青春就是放弃和怀念。
233,黄金三镖客,赛尔乔·莱昂内,"['克林特·伊斯特伍德', '埃里·瓦拉赫', '李·范·克里夫', '阿尔多·久弗瑞']",意大利 / 西班牙 / 西德,意大利语 / 英语,9.1,66732,1966-12-23(意大利),161 分钟,"['西部', '冒险']",最棒的西部片。
234,黑鹰坠落,雷德利·斯科特,"['乔什·哈奈特', '伊万·麦克格雷格', '汤姆·塞兹摩尔', '金·寇兹']",美国,英语 / 阿拉伯语 / 索马里语,8.6,156876,2001-12-18(美国),144分钟,"['动作', '历史', '战争']",还原真实而残酷的战争。
235,功夫,周星驰,"['周星驰', '元秋', '元华', '黄圣依']",中国大陆 / 香港,粤语 / 汉语普通话 / 手语,8.3,409815,2004-12-23(中国大陆/香港),100分钟(3D重映),"['喜剧', '动作', '犯罪', '奇幻']",
236,非常嫌疑犯,布莱恩·辛格,"['史蒂芬·鲍德温', '加布里埃尔·伯恩', '本尼西奥·德尔·托罗', '凯文·波拉克']",德国 / 美国,英语 / 匈牙利语 / 西班牙语 / 法语,8.6,152337,1995-01-25(圣丹斯电影节),106分钟,"['剧情', '悬疑', '惊悚', '犯罪']",我不信仰上帝，但我敬畏上帝。
